기업,연도,자율의무,업종,총임직원,IT투자,보안투자,투자비율,IT인력,전담내부,전담외주,전담계,인력비율,외주의존,CISO임원,CISO겸직,CISO활동건수,수정공시,publish_no
계명대학교동산병원,2023,의무,교육 서비스업(85),3122.4,10124878860.0,975908501.0,9.63871780091599,52.4,2.8,1.2,4.0,7.633587786259542,30.0,O,X,5.0,False,1453
세진중공업,2023,의무,제조업(10~34),254.9,1212924239.0,105675819.0,8.712483072077513,8.0,0.0,0.0,0.0,0.0,,X,O,0.0,False,1454
폴라리스오피스,2023,자율,정보통신업(58~63),140.9,7489452517.0,215508261.0,2.8774901838395617,98.0,1.0,0.5,1.5,1.530612244897959,33.33333333333333,O,O,3.0,False,1455
서경방송,2023,의무,정보통신업(58~63),134.3,4233177033.0,354834293.0,8.3822219159243,21.0,1.2,0.0,1.2,5.714285714285714,0.0,O,O,3.0,False,1456
지에스리테일,2023,의무,도매 및 소매업(45~47),8056.7,203309083830.0,3806559982.0,1.8723019701288475,551.8,13.5,5.0,18.5,3.3526640086988047,27.027027027027028,X,X,1.0,False,1457
현대리바트,2023,의무,제조업(10~34),880.6,6137281239.0,300783843.0,4.9009297649362615,30.5,2.8,0.0,2.8,9.180327868852459,0.0,O,X,0.0,False,1458
지에스건설,2023,의무,건설업(41~42),5935.7,32795896109.0,1192777071.0,3.63697051312671,137.8,4.0,2.5,6.5,4.716981132075471,38.46153846153847,O,O,2.0,False,1459
인제대학교부산백병원,2023,의무,보건업 및 사회복지 서비스업(86~87),2338.0,4591684890.0,379229626.0,8.259051635400878,21.0,1.0,0.0,1.0,4.761904761904762,0.0,O,O,2.0,False,1460
극동유화,2023,의무,제조업(10~34),120.4,822462287.0,76504653.0,9.301904076241248,2.1,0.0,0.0,0.0,0.0,,X,O,1.0,False,1461
나이스홀딩스,2023,의무,금융 및 보험업(64~66),56.3,8539309085.0,1074774989.0,12.586205491588668,35.0,2.0,3.1,5.1,14.571428571428571,60.7843137254902,O,O,0.0,False,1462
벽산,2023,의무,제조업(10~34),365.0,1886844692.0,124156065.0,6.580089263647778,6.4,0.0,0.1,0.1,1.5625,100.0,X,O,0.0,True,1463
유한양행,2023,의무,제조업(10~34),1932.3,8316167202.0,641860242.0,7.7182219453889225,14.7,3.3,0.0,3.3,22.448979591836736,0.0,X,O,0.0,False,1464
코오롱베니트,2023,자율,정보통신업(58~63),513.2,3029071941.0,109984886.0,3.6309763565301862,19.9,0.6,0.4,1.1,5.527638190954775,36.36363636363637,O,O,0.0,False,1465
케이씨텍,2023,의무,제조업(10~34),801.7,4652252646.0,1301293344.0,27.971252703114697,12.8,2.3,3.0,5.3,41.40624999999999,56.60377358490566,O,O,12.0,False,1466
신세계푸드,2023,의무,제조업(10~34),3945.1,13042160247.0,966101001.0,7.407522854369357,41.9,1.0,3.3,4.3,10.26252983293556,76.74418604651163,O,O,0.0,False,1467
카카오게임즈,2023,의무,정보통신업(58~63),463.8,69408622718.0,3764761743.0,5.424054815632684,220.3,17.1,0.9,18.0,8.170676350431231,5.0,O,X,0.0,False,1468
엘아이지디펜스앤에어로스페이스,2023,의무,제조업(10~34),3633.0,32738193285.0,4370723297.0,13.350532996585917,90.5,20.2,8.0,28.2,31.160220994475136,28.368794326241137,O,X,5.0,False,1470
셀트리온헬스케어,2023,의무,도매 및 소매업(45~47),161.0,3377350327.0,342545633.0,10.14243711295041,7.0,2.0,0.0,2.0,28.57142857142857,0.0,X,X,1.0,False,1471
휴비스,2023,의무,제조업(10~34),953.3,4694951824.0,764224213.0,16.277573053963675,22.0,2.0,3.0,5.0,22.727272727272727,60.0,X,O,12.0,False,1472
휴마시스,2023,의무,제조업(10~34),252.6,557745922.0,81400248.0,14.59450348074441,1.6,0.0,0.0,0.0,0.0,,O,O,0.0,True,1474
원주세브란스기독병원,2023,의무,보건업 및 사회복지 서비스업(86~87),2283.6,4846558275.0,349296872.0,7.207111772528929,20.3,1.0,0.0,1.0,4.926108374384236,0.0,O,O,3.0,False,1475
(의)삼성의료재단강북삼성병원,2023,의무,보건업 및 사회복지 서비스업(86~87),3196.7,13881538985.0,1683240108.0,12.12574563828162,42.2,3.0,0.0,3.0,7.109004739336493,0.0,O,O,3.0,False,1476
에이치디씨랩스,2023,의무,건설업(41~42),5604.9,1768518413.0,59445418.0,3.3613117942696813,1.9,0.0,0.0,0.0,0.0,,X,O,0.0,False,1477
신세계인터내셔날,2023,의무,도매 및 소매업(45~47),1317.5,23743674008.0,615954203.0,2.594182361131076,147.1,3.0,2.0,5.0,3.399048266485384,40.0,O,X,0.0,False,1478
